Date: 2024-11-10 | Time: 04:56:00 | Transition: surprise -> surprise | Duration: 1.9s | Scores: {'angry': 0.39, 'disgust': 0.12, 'fear': 0.29, 'happy': 0.76, 'sad': 0.23, 'surprise': 0.71, 'neutral': 0.78}
Date: 2024-11-10 | Time: 10:25:00 | Transition: fear -> happy | Duration: 1.88s | Scores: {'angry': 0.3, 'disgust': 0.19, 'fear': 0.13, 'happy': 0.57, 'sad': 0.09, 'surprise': 0.78, 'neutral': 0.7}
Date: 2024-11-10 | Time: 11:38:00 | Transition: happy -> neutral | Duration: 1.51s | Scores: {'angry': 0.22, 'disgust': 0.1, 'fear': 0.28, 'happy': 0.87, 'sad': 0.19, 'surprise': 0.52, 'neutral': 0.67}
Date: 2024-11-10 | Time: 14:54:00 | Transition: fear -> neutral | Duration: 1.46s | Scores: {'angry': 0.28, 'disgust': 0.17, 'fear': 0.21, 'happy': 0.61, 'sad': 0.06, 'surprise': 0.81, 'neutral': 0.56}
Date: 2024-11-10 | Time: 17:20:00 | Transition: happy -> angry | Duration: 0.3s | Scores: {'angry': 0.39, 'disgust': 0.24, 'fear': 0.23, 'happy': 0.2, 'sad': 0.08, 'surprise': 0.33, 'neutral': 0.4}
Date: 2024-11-10 | Time: 22:03:00 | Transition: sad -> neutral | Duration: 1.16s | Scores: {'angry': 0.15, 'disgust': 0.25, 'fear': 0.05, 'happy': 0.66, 'sad': 0.17, 'surprise': 0.57, 'neutral': 0.51}
Date: 2024-11-11 | Time: 01:17:00 | Transition: neutral -> fear | Duration: 1.1s | Scores: {'angry': 0.18, 'disgust': 0.3, 'fear': 0.2, 'happy': 0.29, 'sad': 0.23, 'surprise': 0.33, 'neutral': 0.34}
Date: 2024-11-11 | Time: 01:40:00 | Transition: angry -> surprise | Duration: 1.84s | Scores: {'angry': 0.33, 'disgust': 0.13, 'fear': 0.15, 'happy': 0.7, 'sad': 0.1, 'surprise': 0.51, 'neutral': 0.88}
Date: 2024-11-11 | Time: 08:30:00 | Transition: neutral -> happy | Duration: 1.14s | Scores: {'angry': 0.17, 'disgust': 0.29, 'fear': 0.21, 'happy': 0.78, 'sad': 0.11, 'surprise': 0.75, 'neutral': 0.63}
Date: 2024-11-11 | Time: 12:14:00 | Transition: happy -> fear | Duration: 1.42s | Scores: {'angry': 0.32, 'disgust': 0.25, 'fear': 0.2, 'happy': 0.08, 'sad': 0.13, 'surprise': 0.35, 'neutral': 0.27}
Date: 2024-11-11 | Time: 13:51:00 | Transition: disgust -> angry | Duration: 1.62s | Scores: {'angry': 0.19, 'disgust': 0.29, 'fear': 0.14, 'happy': 0.23, 'sad': 0.22, 'surprise': 0.3, 'neutral': 0.29}
Date: 2024-11-11 | Time: 17:24:00 | Transition: happy -> neutral | Duration: 1.12s | Scores: {'angry': 0.3, 'disgust': 0.1, 'fear': 0.24, 'happy': 0.61, 'sad': 0.1, 'surprise': 0.72, 'neutral': 0.63}
Date: 2024-11-12 | Time: 00:01:00 | Transition: angry -> neutral | Duration: 1.49s | Scores: {'angry': 0.35, 'disgust': 0.19, 'fear': 0.26, 'happy': 0.78, 'sad': 0.26, 'surprise': 0.51, 'neutral': 0.69}
Date: 2024-11-12 | Time: 00:35:00 | Transition: disgust -> disgust | Duration: 1.94s | Scores: {'angry': 0.33, 'disgust': 0.1, 'fear': 0.1, 'happy': 0.09, 'sad': 0.18, 'surprise': 0.19, 'neutral': 0.15}
Date: 2024-11-12 | Time: 02:27:00 | Transition: fear -> neutral | Duration: 0.68s | Scores: {'angry': 0.05, 'disgust': 0.11, 'fear': 0.16, 'happy': 0.74, 'sad': 0.26, 'surprise': 0.89, 'neutral': 0.9}
Date: 2024-11-12 | Time: 06:05:00 | Transition: sad -> neutral | Duration: 1.76s | Scores: {'angry': 0.16, 'disgust': 0.27, 'fear': 0.25, 'happy': 0.8, 'sad': 0.18, 'surprise': 0.78, 'neutral': 0.55}
Date: 2024-11-12 | Time: 06:49:00 | Transition: angry -> angry | Duration: 1.59s | Scores: {'angry': 0.08, 'disgust': 0.29, 'fear': 0.29, 'happy': 0.37, 'sad': 0.29, 'surprise': 0.1, 'neutral': 0.29}
Date: 2024-11-12 | Time: 09:26:00 | Transition: happy -> angry | Duration: 1.42s | Scores: {'angry': 0.13, 'disgust': 0.29, 'fear': 0.15, 'happy': 0.37, 'sad': 0.25, 'surprise': 0.38, 'neutral': 0.08}
Date: 2024-11-12 | Time: 15:50:00 | Transition: happy -> sad | Duration: 0.98s | Scores: {'angry': 0.31, 'disgust': 0.18, 'fear': 0.1, 'happy': 0.19, 'sad': 0.3, 'surprise': 0.37, 'neutral': 0.06}
Date: 2024-11-12 | Time: 16:57:00 | Transition: sad -> happy | Duration: 0.49s | Scores: {'angry': 0.3, 'disgust': 0.18, 'fear': 0.11, 'happy': 0.68, 'sad': 0.09, 'surprise': 0.53, 'neutral': 0.53}
Date: 2024-11-12 | Time: 21:36:00 | Transition: angry -> surprise | Duration: 0.76s | Scores: {'angry': 0.12, 'disgust': 0.2, 'fear': 0.22, 'happy': 0.8, 'sad': 0.23, 'surprise': 0.83, 'neutral': 0.81}
Date: 2024-11-12 | Time: 21:56:00 | Transition: sad -> neutral | Duration: 0.29s | Scores: {'angry': 0.22, 'disgust': 0.23, 'fear': 0.05, 'happy': 0.61, 'sad': 0.25, 'surprise': 0.79, 'neutral': 0.56}
Date: 2024-11-13 | Time: 01:21:00 | Transition: fear -> neutral | Duration: 0.57s | Scores: {'angry': 0.24, 'disgust': 0.09, 'fear': 0.17, 'happy': 0.77, 'sad': 0.27, 'surprise': 0.52, 'neutral': 0.9}
Date: 2024-11-13 | Time: 02:15:00 | Transition: surprise -> happy | Duration: 0.47s | Scores: {'angry': 0.29, 'disgust': 0.11, 'fear': 0.17, 'happy': 0.74, 'sad': 0.15, 'surprise': 0.57, 'neutral': 0.75}
Date: 2024-11-13 | Time: 02:42:00 | Transition: angry -> surprise | Duration: 0.51s | Scores: {'angry': 0.07, 'disgust': 0.21, 'fear': 0.11, 'happy': 0.71, 'sad': 0.06, 'surprise': 0.54, 'neutral': 0.74}
Date: 2024-11-13 | Time: 02:53:00 | Transition: angry -> neutral | Duration: 1.09s | Scores: {'angry': 0.23, 'disgust': 0.08, 'fear': 0.08, 'happy': 0.63, 'sad': 0.23, 'surprise': 0.57, 'neutral': 0.86}
Date: 2024-11-13 | Time: 03:24:00 | Transition: fear -> surprise | Duration: 1.94s | Scores: {'angry': 0.18, 'disgust': 0.21, 'fear': 0.29, 'happy': 0.61, 'sad': 0.16, 'surprise': 0.88, 'neutral': 0.64}
Date: 2024-11-13 | Time: 07:24:00 | Transition: neutral -> surprise | Duration: 1.93s | Scores: {'angry': 0.11, 'disgust': 0.11, 'fear': 0.1, 'happy': 0.72, 'sad': 0.19, 'surprise': 0.81, 'neutral': 0.72}
Date: 2024-11-13 | Time: 08:04:00 | Transition: disgust -> neutral | Duration: 0.65s | Scores: {'angry': 0.06, 'disgust': 0.21, 'fear': 0.05, 'happy': 0.55, 'sad': 0.08, 'surprise': 0.66, 'neutral': 0.9}
Date: 2024-11-13 | Time: 10:59:00 | Transition: surprise -> neutral | Duration: 0.86s | Scores: {'angry': 0.07, 'disgust': 0.15, 'fear': 0.22, 'happy': 0.87, 'sad': 0.08, 'surprise': 0.71, 'neutral': 0.89}
Date: 2024-11-13 | Time: 12:04:00 | Transition: neutral -> surprise | Duration: 1.19s | Scores: {'angry': 0.32, 'disgust': 0.28, 'fear': 0.09, 'happy': 0.59, 'sad': 0.08, 'surprise': 0.53, 'neutral': 0.88}
Date: 2024-11-13 | Time: 12:23:00 | Transition: disgust -> surprise | Duration: 1.67s | Scores: {'angry': 0.2, 'disgust': 0.15, 'fear': 0.23, 'happy': 0.85, 'sad': 0.14, 'surprise': 0.73, 'neutral': 0.89}
Date: 2024-11-13 | Time: 19:53:00 | Transition: angry -> happy | Duration: 1.54s | Scores: {'angry': 0.12, 'disgust': 0.06, 'fear': 0.11, 'happy': 0.87, 'sad': 0.22, 'surprise': 0.87, 'neutral': 0.51}
Date: 2024-11-13 | Time: 20:00:00 | Transition: happy -> neutral | Duration: 1.53s | Scores: {'angry': 0.39, 'disgust': 0.1, 'fear': 0.23, 'happy': 0.67, 'sad': 0.23, 'surprise': 0.75, 'neutral': 0.53}
Date: 2024-11-13 | Time: 20:50:00 | Transition: fear -> happy | Duration: 1.39s | Scores: {'angry': 0.07, 'disgust': 0.21, 'fear': 0.14, 'happy': 0.6, 'sad': 0.23, 'surprise': 0.85, 'neutral': 0.88}
Date: 2024-11-14 | Time: 05:32:00 | Transition: happy -> neutral | Duration: 0.75s | Scores: {'angry': 0.23, 'disgust': 0.1, 'fear': 0.17, 'happy': 0.88, 'sad': 0.26, 'surprise': 0.84, 'neutral': 0.66}
Date: 2024-11-14 | Time: 06:30:00 | Transition: happy -> surprise | Duration: 0.75s | Scores: {'angry': 0.26, 'disgust': 0.29, 'fear': 0.06, 'happy': 0.89, 'sad': 0.25, 'surprise': 0.69, 'neutral': 0.8}
Date: 2024-11-14 | Time: 12:03:00 | Transition: disgust -> sad | Duration: 1.48s | Scores: {'angry': 0.11, 'disgust': 0.16, 'fear': 0.2, 'happy': 0.31, 'sad': 0.08, 'surprise': 0.29, 'neutral': 0.18}
Date: 2024-11-14 | Time: 13:13:00 | Transition: disgust -> happy | Duration: 0.73s | Scores: {'angry': 0.3, 'disgust': 0.21, 'fear': 0.16, 'happy': 0.87, 'sad': 0.2, 'surprise': 0.58, 'neutral': 0.51}
Date: 2024-11-14 | Time: 15:41:00 | Transition: neutral -> surprise | Duration: 1.02s | Scores: {'angry': 0.33, 'disgust': 0.11, 'fear': 0.28, 'happy': 0.85, 'sad': 0.26, 'surprise': 0.54, 'neutral': 0.8}
Date: 2024-11-14 | Time: 16:11:00 | Transition: sad -> neutral | Duration: 1.73s | Scores: {'angry': 0.27, 'disgust': 0.09, 'fear': 0.05, 'happy': 0.7, 'sad': 0.07, 'surprise': 0.76, 'neutral': 0.82}
Date: 2024-11-14 | Time: 16:59:00 | Transition: neutral -> neutral | Duration: 0.91s | Scores: {'angry': 0.14, 'disgust': 0.3, 'fear': 0.3, 'happy': 0.55, 'sad': 0.18, 'surprise': 0.7, 'neutral': 0.66}
Date: 2024-11-14 | Time: 18:00:00 | Transition: disgust -> neutral | Duration: 1.23s | Scores: {'angry': 0.2, 'disgust': 0.21, 'fear': 0.18, 'happy': 0.85, 'sad': 0.1, 'surprise': 0.67, 'neutral': 0.64}
Date: 2024-11-14 | Time: 18:13:00 | Transition: fear -> neutral | Duration: 1.29s | Scores: {'angry': 0.16, 'disgust': 0.08, 'fear': 0.22, 'happy': 0.57, 'sad': 0.26, 'surprise': 0.53, 'neutral': 0.55}
Date: 2024-11-14 | Time: 19:40:00 | Transition: angry -> fear | Duration: 0.35s | Scores: {'angry': 0.18, 'disgust': 0.21, 'fear': 0.29, 'happy': 0.4, 'sad': 0.06, 'surprise': 0.35, 'neutral': 0.19}
Date: 2024-11-14 | Time: 21:36:00 | Transition: disgust -> surprise | Duration: 0.2s | Scores: {'angry': 0.23, 'disgust': 0.21, 'fear': 0.12, 'happy': 0.52, 'sad': 0.27, 'surprise': 0.51, 'neutral': 0.88}
Date: 2024-11-14 | Time: 21:40:00 | Transition: sad -> surprise | Duration: 0.35s | Scores: {'angry': 0.21, 'disgust': 0.29, 'fear': 0.06, 'happy': 0.73, 'sad': 0.06, 'surprise': 0.83, 'neutral': 0.63}
Date: 2024-11-14 | Time: 23:33:00 | Transition: neutral -> happy | Duration: 0.38s | Scores: {'angry': 0.24, 'disgust': 0.13, 'fear': 0.16, 'happy': 0.88, 'sad': 0.12, 'surprise': 0.65, 'neutral': 0.59}
Date: 2024-11-15 | Time: 02:36:00 | Transition: angry -> neutral | Duration: 0.26s | Scores: {'angry': 0.34, 'disgust': 0.19, 'fear': 0.09, 'happy': 0.86, 'sad': 0.24, 'surprise': 0.83, 'neutral': 0.76}
Date: 2024-11-15 | Time: 03:43:00 | Transition: surprise -> fear | Duration: 0.74s | Scores: {'angry': 0.39, 'disgust': 0.22, 'fear': 0.14, 'happy': 0.38, 'sad': 0.29, 'surprise': 0.33, 'neutral': 0.34}
Date: 2024-11-15 | Time: 04:51:00 | Transition: disgust -> surprise | Duration: 1.63s | Scores: {'angry': 0.38, 'disgust': 0.16, 'fear': 0.14, 'happy': 0.68, 'sad': 0.28, 'surprise': 0.85, 'neutral': 0.53}
Date: 2024-11-15 | Time: 06:22:00 | Transition: happy -> happy | Duration: 1.94s | Scores: {'angry': 0.29, 'disgust': 0.17, 'fear': 0.23, 'happy': 0.56, 'sad': 0.16, 'surprise': 0.69, 'neutral': 0.56}
Date: 2024-11-15 | Time: 06:51:00 | Transition: surprise -> angry | Duration: 0.53s | Scores: {'angry': 0.28, 'disgust': 0.11, 'fear': 0.09, 'happy': 0.19, 'sad': 0.12, 'surprise': 0.33, 'neutral': 0.37}
Date: 2024-11-15 | Time: 08:00:00 | Transition: disgust -> neutral | Duration: 0.48s | Scores: {'angry': 0.37, 'disgust': 0.16, 'fear': 0.27, 'happy': 0.89, 'sad': 0.1, 'surprise': 0.57, 'neutral': 0.51}
Date: 2024-11-15 | Time: 10:31:00 | Transition: surprise -> surprise | Duration: 1.12s | Scores: {'angry': 0.2, 'disgust': 0.18, 'fear': 0.26, 'happy': 0.51, 'sad': 0.2, 'surprise': 0.7, 'neutral': 0.73}
Date: 2024-11-15 | Time: 11:03:00 | Transition: happy -> surprise | Duration: 1.06s | Scores: {'angry': 0.2, 'disgust': 0.14, 'fear': 0.29, 'happy': 0.62, 'sad': 0.14, 'surprise': 0.85, 'neutral': 0.75}
Date: 2024-11-15 | Time: 11:20:00 | Transition: happy -> neutral | Duration: 0.93s | Scores: {'angry': 0.06, 'disgust': 0.17, 'fear': 0.2, 'happy': 0.77, 'sad': 0.2, 'surprise': 0.53, 'neutral': 0.7}
Date: 2024-11-15 | Time: 11:59:00 | Transition: surprise -> happy | Duration: 0.25s | Scores: {'angry': 0.23, 'disgust': 0.27, 'fear': 0.21, 'happy': 0.68, 'sad': 0.1, 'surprise': 0.53, 'neutral': 0.63}
Date: 2024-11-15 | Time: 15:21:00 | Transition: sad -> surprise | Duration: 0.21s | Scores: {'angry': 0.16, 'disgust': 0.09, 'fear': 0.07, 'happy': 0.9, 'sad': 0.29, 'surprise': 0.76, 'neutral': 0.73}
Date: 2024-11-15 | Time: 15:45:00 | Transition: neutral -> neutral | Duration: 0.92s | Scores: {'angry': 0.21, 'disgust': 0.2, 'fear': 0.25, 'happy': 0.79, 'sad': 0.21, 'surprise': 0.61, 'neutral': 0.78}
Date: 2024-11-15 | Time: 17:18:00 | Transition: surprise -> happy | Duration: 0.44s | Scores: {'angry': 0.36, 'disgust': 0.1, 'fear': 0.07, 'happy': 0.85, 'sad': 0.23, 'surprise': 0.66, 'neutral': 0.81}
Date: 2024-11-15 | Time: 18:30:00 | Transition: surprise -> surprise | Duration: 1.6s | Scores: {'angry': 0.32, 'disgust': 0.16, 'fear': 0.25, 'happy': 0.63, 'sad': 0.25, 'surprise': 0.74, 'neutral': 0.64}
Date: 2024-11-15 | Time: 22:59:00 | Transition: fear -> disgust | Duration: 1.79s | Scores: {'angry': 0.29, 'disgust': 0.14, 'fear': 0.13, 'happy': 0.3, 'sad': 0.09, 'surprise': 0.34, 'neutral': 0.33}
Date: 2024-11-16 | Time: 01:23:00 | Transition: angry -> surprise | Duration: 0.86s | Scores: {'angry': 0.33, 'disgust': 0.1, 'fear': 0.17, 'happy': 0.87, 'sad': 0.11, 'surprise': 0.76, 'neutral': 0.83}
Date: 2024-11-16 | Time: 02:32:00 | Transition: sad -> angry | Duration: 1.63s | Scores: {'angry': 0.14, 'disgust': 0.21, 'fear': 0.26, 'happy': 0.23, 'sad': 0.12, 'surprise': 0.12, 'neutral': 0.36}
Date: 2024-11-16 | Time: 05:01:00 | Transition: surprise -> surprise | Duration: 0.87s | Scores: {'angry': 0.39, 'disgust': 0.21, 'fear': 0.06, 'happy': 0.88, 'sad': 0.29, 'surprise': 0.56, 'neutral': 0.81}
Date: 2024-11-16 | Time: 09:52:00 | Transition: sad -> surprise | Duration: 0.41s | Scores: {'angry': 0.3, 'disgust': 0.18, 'fear': 0.09, 'happy': 0.65, 'sad': 0.23, 'surprise': 0.61, 'neutral': 0.67}
Date: 2024-11-17 | Time: 00:55:00 | Transition: neutral -> surprise | Duration: 1.39s | Scores: {'angry': 0.26, 'disgust': 0.23, 'fear': 0.2, 'happy': 0.78, 'sad': 0.13, 'surprise': 0.8, 'neutral': 0.63}
Date: 2024-11-17 | Time: 03:00:00 | Transition: fear -> happy | Duration: 1.63s | Scores: {'angry': 0.39, 'disgust': 0.08, 'fear': 0.12, 'happy': 0.61, 'sad': 0.26, 'surprise': 0.74, 'neutral': 0.89}
Date: 2024-11-17 | Time: 04:20:00 | Transition: angry -> happy | Duration: 1.98s | Scores: {'angry': 0.17, 'disgust': 0.16, 'fear': 0.3, 'happy': 0.61, 'sad': 0.11, 'surprise': 0.54, 'neutral': 0.62}
Date: 2024-11-17 | Time: 14:36:00 | Transition: surprise -> happy | Duration: 1.42s | Scores: {'angry': 0.23, 'disgust': 0.22, 'fear': 0.06, 'happy': 0.5, 'sad': 0.12, 'surprise': 0.75, 'neutral': 0.62}
Date: 2024-11-17 | Time: 18:38:00 | Transition: disgust -> fear | Duration: 0.4s | Scores: {'angry': 0.35, 'disgust': 0.14, 'fear': 0.27, 'happy': 0.2, 'sad': 0.21, 'surprise': 0.26, 'neutral': 0.37}
